,Bad_indexes
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,19
19,20
20,21
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,49
47,51
48,52
49,53
50,54
51,55
52,56
53,57
54,58
55,59
56,60
57,61
58,62
59,63
60,64
61,65
62,67
63,68
64,69
65,70
66,71
67,72
68,73
69,74
70,75
71,76
72,77
73,78
74,79
75,80
76,81
77,82
78,83
79,84
80,85
81,86
82,87
83,88
84,90
85,92
86,93
87,94
88,95
89,96
90,97
91,99
92,100
93,102
94,103
95,104
96,105
97,106
98,107
99,108
100,109
101,110
102,111
103,112
104,113
105,114
106,115
107,116
108,117
109,118
110,119
111,120
112,121
113,122
114,123
115,124
116,125
117,126
118,128
119,129
120,130
121,131
122,132
123,133
124,134
125,135
126,136
127,137
128,138
129,139
130,140
131,141
132,142
133,143
134,144
135,145
136,146
137,147
138,149
139,150
140,151
141,152
142,153
143,154
144,156
145,157
146,159
147,160
148,161
149,162
150,163
151,164
152,165
153,166
154,167
155,168
156,170
157,171
158,172
159,173
160,174
161,175
162,176
163,177
164,178
165,179
166,180
167,181
168,182
169,183
170,184
171,185
172,187
173,188
174,189
175,191
176,192
177,193
178,194
179,195
180,196
181,198
182,199
183,200
184,202
185,203
186,204
187,205
188,206
189,207
190,208
191,209
192,210
193,211
194,212
195,213
196,214
197,215
198,216
199,217
200,219
201,220
202,222
203,223
204,224
205,225
206,226
207,227
208,228
209,229
210,230
211,231
212,232
213,233
214,234
215,235
216,236
217,237
218,238
219,239
220,240
221,241
222,242
223,243
224,244
225,245
226,246
227,247
228,248
229,249
230,250
231,251
232,252
233,253
234,254
235,255
236,256
237,257
238,258
239,259
240,260
241,261
242,263
243,264
244,265
245,266
246,267
247,269
248,270
249,271
250,272
251,273
252,274
253,275
254,276
255,277
256,278
257,280
258,282
259,283
260,284
261,285
262,287
263,288
264,289
265,290
266,291
267,292
268,293
269,294
270,295
271,297
272,298
273,300
274,301
275,302
276,303
277,305
278,306
279,307
280,308
281,309
282,310
283,311
284,313
285,314
286,315
287,316
288,317
289,318
290,319
291,321
292,322
293,323
294,324
295,325
296,326
297,327
298,328
299,329
300,330
301,331
302,332
303,333
304,334
305,335
306,336
307,337
308,338
309,339
310,340
311,341
312,342
313,343
314,344
315,345
316,346
317,347
318,348
319,349
320,350
321,351
322,352
323,353
324,354
325,355
326,356
327,357
328,358
329,359
330,360
331,361
332,362
333,363
334,365
335,366
336,367
337,369
338,370
339,371
340,372
341,373
342,374
343,375
344,376
345,377
346,378
347,379
348,380
349,381
350,382
351,383
352,384
353,385
354,386
355,387
356,388
357,390
358,391
359,392
360,393
361,394
362,395
363,396
364,397
365,398
366,399
367,400
368,401
369,402
370,403
371,404
372,405
373,406
374,407
375,409
376,410
377,411
378,412
379,413
380,414
381,415
382,416
383,417
384,418
385,419
386,420
387,422
388,423
389,424
390,425
391,426
392,427
393,428
394,429
395,430
396,431
397,432
398,433
399,434
400,435
401,436
402,437
403,438
404,439
405,440
406,441
407,442
408,443
409,444
410,445
411,446
412,447
413,450
414,451
415,452
416,453
417,454
418,456
419,457
420,458
421,460
422,461
423,462
424,463
425,464
426,465
427,466
428,467
429,468
430,470
431,471
432,472
433,473
434,474
435,477
436,478
437,479
438,480
439,481
440,482
441,484
442,485
443,486
444,487
445,488
446,489
447,490
448,491
449,492
450,493
451,494
452,495
453,496
454,497
455,498
456,499
457,500
458,501
459,503
460,504
461,505
462,506
463,507
464,508
465,509
466,510
467,511
468,512
469,513
470,514
471,515
472,516
473,517
474,518
475,519
476,520
477,523
478,524
479,525
480,526
481,527
482,528
483,529
484,530
485,531
486,532
487,533
488,534
489,535
490,536
491,537
492,538
493,540
494,542
495,543
496,544
497,545
498,546
499,547
500,548
501,549
502,551
503,552
504,553
505,554
506,555
507,556
508,557
509,558
510,560
511,561
512,562
513,563
514,564
515,565
516,566
517,567
518,568
519,569
520,570
521,571
522,572
523,573
524,574
525,575
526,576
527,577
528,578
529,579
530,580
531,581
532,582
533,583
534,584
535,585
536,586
537,587
538,588
539,589
540,591
541,592
542,593
543,594
544,595
545,596
546,597
547,598
548,599
549,600
550,601
551,602
552,603
553,604
554,605
555,607
556,608
557,609
558,610
559,611
560,612
561,613
562,614
563,615
564,616
565,617
566,618
567,619
568,621
569,622
570,623
571,624
572,625
573,626
574,627
575,629
576,630
577,631
578,632
579,633
580,634
581,635
582,636
583,637
584,638
585,639
586,640
587,641
588,642
589,643
590,644
591,645
592,646
593,647
594,648
595,650
596,651
597,652
598,653
599,654
600,655
601,656
602,657
603,658
604,659
605,660
606,661
607,662
608,663
609,664
610,665
611,666
612,667
613,668
614,669
615,670
616,671
617,672
618,673
619,674
620,675
621,676
622,677
623,678
624,679
625,680
626,681
627,682
628,683
629,684
630,685
631,686
632,687
633,688
634,689
635,691
636,692
637,693
638,694
639,695
640,696
641,697
642,698
643,699
644,700
645,702
646,703
647,704
648,705
649,706
650,707
651,708
652,709
653,710
654,711
655,712
656,713
657,714
658,715
659,716
660,717
661,719
662,720
663,721
664,722
665,723
666,724
667,725
668,726
669,727
670,728
671,729
672,730
673,731
674,732
675,733
676,734
677,735
678,736
679,737
680,738
681,739
682,740
683,741
684,742
685,743
686,744
687,745
688,746
689,747
690,748
691,749
692,750
693,751
694,752
695,753
696,754
697,755
698,758
699,759
700,760
701,761
702,762
703,763
704,764
705,765
706,766
707,767
708,768
709,769
710,770
711,771
712,772
713,774
714,775
715,776
716,777
717,778
718,779
719,780
720,781
721,782
722,783
723,784
724,785
725,787
726,788
727,789
728,790
729,791
730,792
731,793
732,794
733,795
734,796
735,797
736,798
737,799
738,800
739,801
740,802
741,803
742,804
743,805
744,806
745,807
746,808
747,809
748,810
749,811
750,812
751,813
752,814
753,815
754,816
755,817
756,818
757,819
758,820
759,821
760,823
761,824
762,825
763,826
764,827
765,828
766,829
767,830
768,831
769,832
770,833
771,834
772,835
773,836
774,837
775,838
776,839
777,840
778,841
779,842
780,843
781,844
782,845
783,847
784,848
785,849
786,850
787,851
788,852
789,853
790,854
791,855
792,856
793,858
794,859
795,860
796,861
797,862
798,863
799,864
800,865
801,866
802,867
803,868
804,869
805,870
806,871
807,872
808,873
809,874
810,875
811,876
812,877
813,878
814,879
815,880
816,881
817,882
818,883
819,884
820,886
821,887
822,888
823,890
824,891
825,892
826,893
827,895
828,896
829,897
830,898
831,899
832,900
833,901
834,902
835,903
836,904
837,905
838,906
839,908
840,909
841,910
842,911
843,912
844,913
845,914
846,915
847,916
848,917
849,918
850,919
851,921
852,922
853,923
854,924
855,925
856,926
857,927
858,928
859,929
860,930
861,931
862,932
863,933
864,934
865,935
866,936
867,937
868,938
869,939
870,940
871,941
872,942
873,943
874,944
875,945
876,946
877,947
878,948
879,949
880,950
881,951
882,952
883,953
884,954
885,955
886,956
887,958
888,960
889,961
890,962
891,963
892,964
893,965
894,966
895,967
896,968
897,969
898,970
899,971
900,972
901,973
902,974
903,975
904,976
905,978
906,979
907,981
908,982
909,983
910,984
911,985
912,986
913,987
914,988
915,989
916,990
917,991
918,992
919,993
920,994
921,995
922,996
923,997
924,998
925,999
926,1000
927,1001
928,1002
929,1003
930,1004
931,1005
932,1007
933,1008
934,1009
935,1010
936,1011
937,1012
938,1013
939,1014
940,1015
941,1017
942,1019
943,1020
944,1021
945,1024
946,1025
947,1026
948,1027
949,1028
950,1029
951,1030
952,1031
953,1032
954,1033
955,1034
956,1035
957,1036
958,1037
959,1038
960,1039
961,1040
962,1041
963,1042
964,1043
965,1044
966,1045
967,1046
968,1047
969,1048
970,1049
971,1050
972,1051
973,1052
974,1053
975,1054
976,1055
977,1057
978,1058
979,1059
980,1060
981,1061
982,1064
983,1065
984,1066
985,1068
986,1069
987,1070
988,1071
989,1072
990,1074
991,1075
992,1076
993,1077
994,1078
995,1079
996,1080
997,1081
998,1082
999,1083
1000,1084
1001,1085
1002,1086
1003,1087
1004,1088
1005,1089
1006,1090
1007,1091
1008,1092
1009,1093
1010,1094
1011,1095
1012,1096
1013,1098
1014,1099
1015,1100
1016,1101
1017,1102
1018,1103
1019,1104
1020,1105
1021,1106
1022,1107
1023,1108
1024,1109
1025,1110
1026,1111
1027,1112
1028,1113
1029,1114
1030,1115
1031,1116
1032,1117
1033,1118
1034,1119
1035,1120
1036,1121
1037,1122
