,0
0,2617
1,52047326332129638504907000521132040
2,427
3,365
4,2110916340429978173
5,98
6,-9
7,32858
8,137436945552
9,127
10,29
11,146656754883677131
12,3505951
13,7
14,94
15,1.010330139506688e+19
16,218
17,27948312
18,1221218596
19,989127819414954170209239858260227209568792347915328651154594240585970283842118
20,5
21,8475
22,-417
23,299999999991
24,1404817026
25,443
26,30
27,1329376191210725010990283299434694464336896476138824800813517191378992025207893360000
28,1040
29,218
30,22851521570687098564
31,769438418283309649
32,1
33,2592000
34,73
35,1
36,4229
37,0
38,17
39,183742358
40,69377533372430719
41,8548074462379
42,3
43,134
44,5
45,4390242346088087395
46,13
47,1067857108634797290
48,2136750625
49,10614717931323392
50,30988128279193785865476747562711031784709029888
51,202089899117162771494026986677587201812698520846319037282893739002965043835199487594696085800714664172178112512
52,11
53,1584858562560
54,3089
55,238
56,29
57,1450384984
58,10964449
59,80707216
60,67151990527665760714053
61,72
62,217
63,279412729196042
64,1
65,6
66,106574136046464005550646840440
67,3
68,211
69,102384090433785464586295830691875
70,750203718611121304644623635491840
71,3671003
72,83
73,3792532
74,5
75,6121
76,57
77,67362149
78,1028
79,1487321615877089920298398794877451264100990832314711736320
80,123738773021830120012762477
81,84
82,5
83,4
84,593
85,39331
86,2153
87,4554628286713
88,150891632373113814
89,6642697774712213
90,196
91,1968721
92,1063267584
93,1
94,552403
95,72
96,9817858453455
97,18433454242526625
98,27980637362452980
99,125093
100,567765
101,864
102,1551908
103,84192075
104,1148928
105,1051
106,220244969364798596
107,2
108,16
109,282040
110,3780
111,15790977390245
112,143
113,3799424
114,364
115,263
116,16
117,4
118,4730218284
119,2
120,1496950842394800744
121,288159195861579519
122,17777210671425885378565
123,2765650089185458968363718
124,6
125,8419605676818432
126,3221225478
127,37537
128,34884
129,297
130,213657034023415650312084375
131,-27454474974890796
132,2295170834453089920
133,585
134,-18086805002
135,43151
136,1
137,75344438393998438430390625
138,755
139,127736
140,3636697161715448914
141,14142135623730950
142,1001
143,3490681428
144,853
145,12964769707834768710147648104687020983960635308403660120749080257740506000
146,10644520988729
147,975138791096512674
148,8858
149,100290042754410
150,46666666666666666666666666666666666666666666666666666666666666666666666661
151,3665821696
152,509
153,1111
154,174
155,170093242813
156,21739418975585493
157,9
158,521031
159,4
160,261
161,29871912150451515
162,14
163,3757214394165203187203557
164,22614
165,164
166,10205443975074195
167,216
168,-542146
169,6941826889
170,30988070410883251650062468506470600085614079962896835441528408646172724011671849
171,59023729003862626557345792000
172,68
173,1886996681
174,3909821048582988049
175,1.4098691799360002e+19
176,281
177,32388853771860099448897
178,16384
179,27278
180,32597040868332220933381
181,1176
182,75806672148355180032000
183,100000000000037589973457545958193355601
184,4
185,415919297844582
186,129
187,222221268547905816
188,221
189,4723
190,35
191,850680832267616036448642743307003648114050501920269009809993262836200003241653567488
192,20790
193,2803
194,5819
195,6173
196,46837953974511
197,157493522
198,4
199,17
200,2209
201,1604
202,861155
203,410
204,11
205,1089270
206,14320887
207,2111
208,337
209,49
210,138
211,976
212,13
213,2303
214,2457
215,2
216,55171471477692117486494217498280
217,769475
218,21708138
219,13
220,83300614144
221,12
222,1112112411122248111211242224449622242248222444964448449688977984
223,1
224,106
225,70492524767089125814114
226,-216684
227,2492701404059145489640
228,51934575
229,49621579941888
230,21879
231,2541585712463861383036826
232,8056
233,273659651846794425
234,54979295791255949
235,1442252806012
236,
237,1018
238,24
239,4
240,1125899906842624
241,68
242,91137
243,-24678108393752726234245105664
244,481890304
245,
246,-916174777198089643491328
247,2624
248,1847
249,1
250,3
251,6225306416473
252,7414468513
253,8344609701134284
254,81
255,932
256,7744
257,2
258,
259,697745695923
260,5083128365969825759
261,252
262,37
263,25
264,6
265,549954856054818293
266,1416673
267,2
268,19739193437746837432529
269,80
270,288
271,252
272,325
273,309398207716948885643749
274,9.867549661639873e+18
275,3221225472
276,3
277,91090700441348806587348
278,163296000
279,4031
280,108609
281,1692767331628422661
282,418802671169936621568000000
283,0
284,3
285,132
286,196
287,71366238515473190982
288,5466
289,8100949
290,3
291,2
292,528
293,4567
294,18576101
295,106
296,3226266762397899821056
297,2520242339
298,52876
299,55201391258522554476152
300,44
301,1555
302,22288874800832640000
303,9235205
304,162417965373568
305,111795382441
306,944
307,16878669938423495235752712550537
308,1.2317566856380617e+19
309,14981
310,1
311,3
312,90073678499
313,69930993863098368000
314,3627
315,778890
316,2
317,389
318,2520
319,2714704875
320,2
321,1
322,90300
323,6250000
324,212
325,199
326,8
327,18230
328,114546679900210059756639
329,1
330,1922760350154212639070
331,152
332,4899263005976068208
333,500000001150395524
334,94045306573
335,165757037
336,12614155679414336
337,7656055966092
338,658560
339,536130
340,143013875122105
341,10
342,75625
343,28748106901407399430780215360000
344,1060425465768772
345,757
346,117073
347,623
348,4401
349,198
350,2
351,2303
352,46952619517170
353,999978918111112681
354,1141
355,1
356,242
357,6
358,71366238515473190982
359,1534
360,3
361,2348810240
362,131070
363,100
364,71
365,7919
366,30931475430329804121871
367,4
368,75
369,1
370,559
371,2035
372,79
373,16992835499329536
374,17
375,1
376,2003427950419417330
377,292755045568445
378,1
379,46692
380,33
381,13026655702912824
382,868
383,88573293551618
384,63277018190
385,10
386,18609625
387,5126493560257678027274800
388,1110796489660535
389,1225955056113872768
390,22885299178560
391,349
392,415906740320988231
393,730
394,70
395,1026437889413641002431445
396,85070591730234615865843651857942052864
397,5
398,3
399,23747742
400,2
401,2319701107323309166913311672
402,106585
403,18825064380813450
404,3
405,37
406,1490681666580459304
407,156
408,257010878197710
409,123
410,240
411,3610149174
412,148
413,16890
414,1693
415,42064990145791861161664
416,75420658619178832623793205612642877
417,102
418,9255630520211089605086
419,62941507200
420,10723
421,10000000000000000000000000
422,0
423,739
424,-209328634116
425,87777806
426,133963874202574308172821152
427,495
428,56129192858827520816193436882886842322337671
429,1991357644501170
430,539356744121554370
431,539
432,75
433,2
434,-157714328056487040
435,4889
436,3711434364793976039520825570430593
437,93243150
438,6356306993006846248183
439,26017
440,161696209356
441,83
442,894
443,12345678910111229121110987654321
444,2
445,231
446,3
447,43792034
448,12
449,13
450,17898
451,6467740095295
452,10
453,7
454,-931439976890484224
455,21
456,366636187
457,151
458,3958427938
459,1
460,7391371681
461,126928214706858961
462,143101889288839872512
463,132
464,4
465,1366875000
466,79311064261
467,256
468,547017649101008848332870300
469,0
470,67076800178332054328155717047365266401
471,1577138964
472,4971
473,7560
474,443
475,192
476,9
477,2
478,10013702555716602
479,76809884197769914248211
480,2805534253552
481,4432676798593
482,8
483,1
484,117088340731041064
485,147
486,5
487,449
488,1
489,1717171717171717171717171717171717171
490,471874122729676800
491,113379904
492,2339
493,1
494,9.844971586905715e+18
495,300
496,1797
497,2
498,366371703833
499,3671
500,1003833985448
501,4
502,14
503,204
504,2
505,215
506,390
507,135868089488042
508,174339220
509,100016926659444735
510,2326762800
511,548
512,
513,2
514,30
515,2021
516,561
517,2220446049250313080847263336181640625
518,1068903623477
519,8503148524089755566080
520,25
521,658681
522,160
523,365849219987747737
524,5455662175125561
525,12
526,490170667488489136298923882507851
527,21736
528,9925669171
529,8648
530,25797
531,4
532,19819
533,213
534,0
535,5260295094627341586155
536,731220192045
537,62
538,141061446
539,71070
540,586795048978163022
541,38192
542,100115382776031
543,108699
544,216
545,112508
546,2057532704150988606181644
547,5
548,23310331287699456000
549,130
550,253516051052571276
551,216822871259048720341882553570648156557191421
552,1576217593145774955007
553,38327520
554,236201
555,450322016526620687787013813440439
556,209
557,8836
558,74775639068058776
559,6
560,648
561,78696324514
562,1453
563,5066
564,34850
565,69982
566,400
567,2
568,210
569,930996623
570,5289852801024
571,52650499032325167909847642931200000000
572,53739140249027550240
573,3
574,117
575,1.0228009145948125e+19
576,285567610965661253632000000
577,469485056250000000
578,3556
579,90
580,808416
581,139583862444
582,3944795435
583,3
584,7
585,17393
586,5
587,45547
588,10576885
589,83
590,475747
591,694683409451
592,33550336
593,62931345125
594,3
595,598
596,262127985893787992511696
597,19396027
598,4
599,129501831523068156
600,220255800262627328
601,4
602,8
603,8687
604,2144
605,93039294691639296000
606,6851831
607,2
608,117
609,36805967321684
610,12345679012345679
611,-243058400211077655952644
612,31
613,335402
614,10491942
615,1869209
616,33
617,74
618,922
619,2
620,2
621,8
622,317769606176319633834643104
623,238281
624,1.5188260508053834e+19
625,118027458557
626,926586406796043293175109
627,5845008
628,1002
629,165269824761
630,
631,3923973029438323839541440812536
632,9
633,5032
634,131552972087266209052875
635,87812623596642
636,83
637,71767287709581
638,315
639,1693182318746371
640,10380
641,151
642,132
643,1
644,43
645,44
646,743
647,2091770
648,33417
649,231
650,4
651,588163
652,245923092372890796876
653,2430970600576
654,27
655,1135048629795612125
656,5
657,52601045792520
658,1093
659,-1
660,26
661,16
662,5291
663,4294967305
664,9851632109402192
665,102002402880080640029030400159667200
666,3002
667,83
668,27
669,26561
670,174
671,304006671424
672,-93320295604487977397387264
673,1246
674,1
675,586835167740
676,110
677,2
678,29260
679,23223
680,774
681,55494718395167577219948287815234
682,42918585756017923252384776090351752769462732331
683,750469872312
684,23
685,95
686,36
687,315651250338121
688,12952575262915522547136
689,586939535850605641728
690,549964241638455480
691,81055900096023504197206408605
692,296
693,862
694,2
695,2111
696,1705361725173422
697,50
698,113
699,9684133255072575015900450075888762942
700,27
701,10170
702,17649696768
703,61900552
704,5
705,7
706,459
707,707
708,507994433535644661
709,941454334223
710,806
711,520
712,19683
713,19376
714,8
715,73
716,2482516953
717,631
718,2003790
719,1322315307
720,954
721,4933519
722,277
723,676
724,1227
725,163703208823534008529747
726,8
727,485400369515158307543761
728,116
729,4
730,234600361563324997
731,6
732,2638827906664
733,3773
734,158318548011
735,405065
736,728
737,188903953
738,4703
739,2
740,1306
741,89133
742,564859072962
743,1
744,72244
745,3271
746,4
747,359
748,9
749,8
750,781665696
751,7789
752,96
753,2
754,105567921675718772
755,524269
756,5015524096516005263567540
757,2
758,697
759,144
760,108570
761,3
762,308020615136820625
763,27809989478829060358799360
764,186
765,6533629880128890
766,1611867544369146
767,107328072
768,102
769,168
770,6503023770
771,1
772,48038396025634816
773,28848173767368633057992125893483779
774,2040
775,6617184
776,711
777,777777777007777777770
778,109
779,265
780,32967
781,100193001007135
782,49142725927201
783,1473898
784,21586547569205365409
785,68926730208040
786,150903
787,7760187771579170400
788,10249
789,53703887
790,3314013545656012
791,4775254548845993462
792,-977218995921967926
793,350010371192262630
794,49204742449051467
795,28948022309329048855892746252171976959574390130279817915318273546782086570304
796,47680241187543
797,338141
798,182
799,2405869763641344000
800,2
801,2549
802,4
803,4294901760
804,88381817680515537538446482833052972519290401
805,35220930741174421456911021812718768924061809900
806,36107
807,4
808,961359275427083998992553051820498439890246400000000
809,12289
810,1.844561819957225e+19
811,1471
812,47
813,32221
814,2
815,148
816,2428830833977
817,10054640164031031318750
818,2181389
819,133826608859968609
820,2
821,4265342057
822,2728473030627812279040
823,2335679313403415
824,666626536184
825,8022765075
826,1244379512520754017408000
827,253
828,1
829,11211231412213511461324271231581912416
830,219
831,221
832,23146276081390728245000
833,5420066
834,78
835,0
836,43910375475
837,91000
838,1107345441787
839,4637556923393331549190920306
840,1728522691
841,120131212083966304113
842,5262123025959154234
843,14637
844,1765
845,14545
846,6
847,8106
848,87878700
849,7577
850,185084645104171955001009752069374428191659
851,842850
852,870
853,524860935683590152
854,2432902008176640000
855,2415313413266
856,61
857,10016441028
858,251181919
859,3
860,361267200
861,3000912883089564050721
862,2
863,48962978982683
864,2346942
865,10
866,6
867,900
868,130873
869,299
870,17569700716557737
871,1244
872,271303150391768215905444630
873,212777
874,3520221010293816000
875,6
876,236
877,626832724103131129
878,-61922192590147500
879,577215664901532860
880,82
881,3055
882,101468332
883,5767
884,666
885,7
886,101
887,845044701535107443245558061611352064
888,4
889,97749134742042348389685885848315523
890,1
891,7
