Id,Last
1,0
2,1
4,0
5,1
6,12
9,0
10,1
12,0
14,4
17,1
19,1
22,1
25,1
27,1
29,9
30,2
31,5
32,-4420
33,1
37,0
38,715
39,123
42,1
43,7
45,1
47,12907
48,0
50,1
54,32
55,1
56,1
58,1
60,1
62,2
68,1
70,0
71,8
74,4
78,1
79,1
80,1
81,5
83,0
84,1
85,3
87,1
88,0
90,0
93,1
96,2
97,0
98,31
99,1
101,0
103,1
106,2
114,335
115,37022
116,24
117,2
120,5
121,1
122,1
124,1
125,1
127,14
128,3
129,0
131,1
138,2
140,1
142,1
143,2
144,1670
145,1
146,2
148,1
151,2
153,3
154,1
156,1
157,0
161,1
169,0
170,1
172,1
173,2
175,1
180,1
182,1
183,136
184,1
187,5
189,1
191,1
193,0
194,57
195,0
196,1
197,1
199,109
200,1
201,1
206,0
207,1
209,9
214,1
216,4
218,1
228,234
230,2
231,1
232,4
233,2
234,1
235,1
236,0
239,0
240,1
243,4
247,15373
248,1
250,0
252,1
253,10
257,1
260,0
261,9
265,1
267,0
269,1
270,0
273,2120
274,5
279,1
281,1
283,4048
285,1
287,90486
291,1
292,1
301,1
307,-1
309,6528
312,1
314,1
316,2
321,0
322,7
324,3
325,320
330,0
331,3
333,1
337,1
338,1
341,1
342,2
343,48410727
344,1
345,1
346,1
348,1
349,78502725751
351,1
353,1
355,1
356,1
357,0
358,1
360,3
362,1
363,9135630
364,3
365,149057
367,97
368,1
369,3
370,1
371,7
375,0
376,36
380,5
381,3
382,0
383,5
384,3
385,2
388,37
389,6
390,1
391,1
393,1
396,6
397,1
398,3
399,0
401,6
402,1
404,1
405,1
407,2
409,10
411,80
412,1
413,2
414,1
416,106929
417,7
418,1
419,1
422,0
423,1
424,5
427,9
432,5
433,139
435,1
440,23
442,0
445,7
446,3
449,8
450,0
452,1
453,33
454,1
456,56
457,4751
459,7
460,7
462,0
465,1
468,1
471,0
472,2
473,2
474,210
476,63
478,9
480,1
481,0
482,1
484,0
485,16
487,20
488,99003393
489,2
491,1
493,1
495,100
496,2
497,0
498,2
500,138
501,2
504,1
507,2
508,1
509,1
512,1
513,7
514,1
522,117
523,12
524,1
527,7
528,1
529,2
530,1
531,0
532,1
536,2
537,1
538,9
539,0
542,1
543,171
544,1
545,1
547,1
548,0
550,1
551,8
552,1
553,1
560,22
561,1
562,1
563,1
564,1
565,1
567,1
570,43
573,1
574,1331
575,3
576,10
577,2
580,1
583,0
586,1
587,0
591,30923
593,2
594,7
596,1
599,9
600,64
603,1
605,1
607,47
613,19
616,146370
617,1
625,2
626,1
629,0
633,19465109
635,1
636,217
639,1
640,71820
642,1691555775522928280469504000
647,0
648,1
649,6561
650,7
652,3
654,1
656,1
663,1
665,0
666,1
668,40
670,1
672,6
673,1
675,1
676,2
677,1050
679,1
680,1
681,1
684,192960
685,28304640
687,5
688,1
690,29
691,1
695,4
699,6
701,2
702,0
703,1
708,1
709,0
710,0
711,1
712,1
715,199720105201
716,0
717,2
719,4
720,1
723,1
724,17
725,0
726,46
727,6
728,0
736,64
739,1
740,1
741,9
742,1
743,0
745,1
748,0
749,47
751,0
752,3
753,77
754,1
755,9
757,-3
758,2
760,10
761,1
762,41
763,10
765,0
767,3
768,1
769,2
772,1
773,43
774,1
778,1
779,1
781,1
782,63
783,0
787,1
788,1
791,2222
795,30
