Id,Last
1,0
2,1
4,0
5,1
6,12
9,1461
10,1
12,0
14,4
17,0
19,1
22,32855719753
25,220
27,-6777866008029815635968
29,1155
30,96
31,131
32,-94142708
33,5376
37,0
38,715
39,12345678901
42,1
43,7
45,1
47,12907
48,0
50,1
54,168
55,152
56,1
58,150
60,1
62,1
68,1782
70,0
71,266
74,4
78,1
79,160
80,1
81,5
83,6
84,87960930222080
85,509
87,1
88,0
90,96147057896403
93,1
96,139
97,0
98,22
99,1
101,0
103,1
106,3
114,335
115,37022
116,24
117,2
120,791
121,1
122,232
124,267786673
125,1
127,24
128,3
129,0
131,4789
138,20
140,12941
142,281
143,2
144,1670
145,1
146,851376628
148,1
151,2
153,736
154,1
156,-8306718039292070795935744
157,302
161,1
169,3300
170,610
172,215
173,191
175,1
180,1
182,1
183,136
184,-13298085122481
187,517
189,1
191,1
193,666
194,72246797
195,0
196,226257606
197,131
199,109
200,-1476931152842107650048
201,1
206,0
207,1
209,9
214,1
216,252
218,-1854063629803901241262080
228,227
230,460
231,1
232,2
233,3
234,1
235,763
236,4840
239,0
240,1502
243,4
247,15373
248,1
250,0
252,1
253,20
257,1
260,0
261,9
265,1
267,0
269,19
270,22
273,2120
274,18
279,85
281,23
283,4048
285,92470734734
287,90486
291,1
292,1
301,1
307,-1
309,6528
312,1
314,1
316,2
321,0
322,2
324,2147483676
325,320
330,4
331,5802
333,5
337,810967336058880000
338,661
341,1
342,2
343,48410727
344,2
345,1
346,1
348,60
349,78502725751
351,113
353,1
355,1
356,896
357,0
358,1
360,6
362,1
363,9135630
364,3
365,149057
367,97
368,1
369,3
370,1
371,7
375,102
376,144
380,504
381,180
382,249
383,805
384,260
385,1
388,2795
389,6
390,1
391,1
393,3
396,1216
397,1
398,60
399,0
401,2600
402,1
404,1
405,2333521433367183360
407,9
409,10
411,80
412,65
413,2
414,1
416,106929
417,5
418,1
419,1
422,0
423,1
424,5
427,10578
432,5
433,139
435,1
440,23
442,1
445,7
446,132
449,345
450,1180610
452,1
453,33
454,572204589843750
456,56
457,4751
459,53
460,7
462,309485009821345068724781056
465,84
468,1
471,0
472,2
473,2
474,210
476,1447
478,539635
480,1
481,0
482,123
484,0
485,16
487,16
488,99003393
489,626
491,1
493,1
495,100
496,128
497,6
498,124192270
500,130
501,1271
504,1
507,2
508,114
509,4
512,1
513,3181
514,509
522,117
523,633
524,697
527,2707
528,1
529,2
530,1
531,7
532,1
536,2
537,1
538,81
539,0
542,299
543,171
544,1
545,1
547,82
548,47681972428112
550,1
551,4
552,1
553,1
560,22
561,1
562,1457
563,1
564,7121453984059539456
565,1
567,1
570,2201
573,610
574,1331
575,3
576,10
577,12
580,1
583,86
586,1
587,0
591,30923
593,979
594,7
596,1
599,63
600,256
603,13732910155
605,4
607,2927
613,257
616,146370
617,1
625,2
626,19
629,0
633,19465109
635,1
636,345
639,-213360
640,71820
642,1691555775522928280469504000
647,0
648,1
649,6561
650,7
652,3
654,1
656,1
663,1
665,148
666,137
668,40
670,1
672,8
673,-3572999947445449009397760
675,1288
676,2159
677,1050
679,4861
680,1
681,1
684,192960
685,28304640
687,5
688,1
690,29
691,1
695,383
699,5
701,2
702,2
703,385507
708,1
709,0
710,-1
711,0
712,1
715,199720105201
716,214
717,520
719,142
720,20472344560800
723,107
724,3245
725,149
726,46
