Id,Last
1,0
2,725161963867
4,96
5,449
6,1
9,0
10,1
12,0
14,4
17,0
19,1
22,32855719753
25,96
27,-6777866008029815635968
29,9
30,66
31,126
32,-48620
33,-1
37,0
38,715
39,123
42,1
43,7
45,1
47,12907
48,0
50,1
54,144
55,140
56,1
58,140
60,1
62,3
68,1
70,0
71,255
74,4
78,1
79,158
80,1
81,5
83,2
84,87960930222080
85,293
87,1
88,0
90,96147057896403
93,1
96,127
97,0
98,1
99,1
101,0
103,1
106,3
114,337
115,37022
116,24
117,2
120,773
121,1
122,186
124,1
125,1
127,16
128,587
129,0
131,1
138,16
140,1
142,293
143,2
144,1670
145,1
146,2
148,1
151,2
153,587
154,1
156,-8306718039292070795935744
157,293
161,1
169,0
170,306
172,233
173,195
175,1
180,52
182,1
183,126
184,-13298085122481
187,449
189,1
191,1
193,587
194,57
195,0
196,226257606
197,126
199,102
200,-1476931152842107650048
201,1
206,1444444444441
207,1
209,9
214,1
216,269
218,-1854063629803901241262080
228,233
230,449
231,1
232,12
233,2
234,1
235,587
236,0
239,0
240,1
243,4
247,15373
248,1
250,0
252,1
253,13
257,1
260,0
261,9
265,1
267,0
269,24
270,12
273,2120
274,2
279,66
281,1
283,4048
285,92470734734
287,90486
291,1
292,1
301,1
307,-1
309,6528
312,1
314,1
316,2
321,0
322,2
324,2147483676
325,320
330,0
331,3
333,2
337,1
338,587
341,1
342,2
343,48410727
344,12
345,1
346,1
348,40
349,78502725751
351,96
353,1
355,1
356,773
357,0
358,1
360,2
362,1
363,9135630
364,3
365,149057
367,97
368,1
369,3
370,1
371,7
375,97
376,140
380,285
381,195
382,186
383,773
384,233
385,12
388,37
389,6
390,1
391,1
393,1
396,6
397,1
398,56
399,0
401,6
402,1
404,1
405,1
407,1
409,16
411,80
412,64
413,2
414,1
416,106929
417,2
418,1
419,1
422,0
423,1
424,5
427,9
432,5
433,140
435,1
440,23
442,1
445,7
446,126
449,336
450,0
452,1
453,33
454,572204589843750
456,56
457,4751
459,12
460,7
462,0
465,81
468,1
471,0
472,2
473,2
474,210
476,773
478,9
480,2
481,0
482,64
484,0
485,293
487,16
488,99003393
489,587
491,47
493,1
495,100
496,116
497,0
498,2
500,158
501,2
504,1
507,2
508,116
509,2
512,1
513,7
514,449
522,117
523,587
524,587
527,7
528,1
529,1
530,1
531,2
532,1
536,1
537,1
538,76
539,0
542,210
543,171
544,1
545,1
547,81
548,47681972428112
550,1
551,2
552,1
553,1
560,22
561,1
562,1
563,1
564,1
565,1
567,1
570,43
573,1
574,1331
575,3
576,10
577,1
580,12
583,81
586,1
587,0
591,30923
593,773
594,7
596,1
599,31
600,432
603,13732910155
605,60
607,47
613,263
616,146370
617,1
625,2
626,24
629,0
633,19465109
635,1
636,337
639,-213360
640,71820
642,1691555775522928280469504000
647,233
648,1
649,6561
650,7
652,3
654,1
656,1
663,1
665,148
666,140
