Id,Last
1,0
2,725161963867
4,9
5,453
6,31
9,1461
10,6419894960015049
12,7564280930105062064128
14,10576607847561078339796992
17,2795903786354347606016
19,1
22,32855719753
25,170
27,-6777866008029815635968
29,1155
30,60
31,131
32,-94140992
33,3072
37,0
38,13995414281804369448738521874432
39,12345678901
42,1
43,9113030337194776068096
45,2
47,12907
48,0
50,1
54,168
55,169
56,377599345119560794112
58,158
60,766582546402667392
62,2
68,1782
70,0
71,266
74,4
78,5873945233705
79,160
80,1
81,610975075883240128512
83,6
84,87960930222080
85,509
87,82121003612034928
88,0
90,96147057896403
93,14049351313802047488
96,139
97,0
98,1
99,4722366482869645213696
101,2856800670438221006835226863562915840
103,1
106,4
114,335
115,37022
116,71
117,2
120,791
121,34799613911106289664
122,233
124,267786673
125,1
127,20
128,521
129,3655980234829231292416
131,4771
138,20
140,12923
142,276
143,1152921504606846976
144,1670
145,1868853595451748
146,851376628
148,10981857825124725555200
151,126765060022822824041242427392
153,736
154,1
156,-8306718039292070795935744
157,302
161,1
169,3300
170,610
172,215
173,191
175,11888688646338116
180,1
182,1
183,136
184,9701946058631960
187,517
189,838829650246380552192
191,1
193,666
194,72246797
195,0
196,226257606
197,130
199,109
200,15148651417782595820191744
201,1
206,1444444444441
207,21818291842511736
209,9
214,5469191608792975360
216,252
218,-1854063629803901241262080
228,237
230,460
231,1
232,2
233,3
234,1
235,763
236,4840
239,5662052980
240,1502
243,4
247,15373
248,5309617272615745
250,0
252,1
253,15
257,1
260,0
261,9
265,3708
267,121645100408832000
269,19
270,22
273,1366284435462423040
274,5
279,85
281,23
283,466063500543300352
285,92470734734
287,90486
291,551343268152723114392721293312
292,1
301,456432182550333751296
307,7770488166051562389504
309,5438674473932192731126300672
312,1
314,1451983503000530394793904586516070400
316,2
321,464092875294121262149100621159989248
322,2
324,2147483676
325,320
330,5
331,5641
333,3
337,810967336058880000
338,661
341,1
342,2
343,769246866811235658550501965824
344,9
345,25836869372608512
346,1
348,105
349,78502725751
351,37
353,1
355,87260245701154896
356,896
357,-0
358,1
360,6
362,135085171767299216
363,447362835296127408840483612175368192
364,3
365,149057
367,97
368,11608392697739886
369,3
370,1
371,349276052222114529280
375,102
376,147
380,210
381,183
382,249
383,799
384,216
385,1
388,2795
389,4283865132005670256640
390,2750105392841508028346793984
391,1534674653372294822066543680139133190144
393,3
396,1140
397,1
398,61
399,-2
401,2600
402,1917389016163332
404,630916661388096569344
405,2333521433367183360
407,4
409,10
411,5169676076559246
412,70
413,2
414,1
416,106929
417,1
418,324259173170675712
419,1
422,0
423,535885387802465271808
424,5
427,10578
432,5
433,139
435,1
440,23
442,1
445,7
446,132
449,345
450,1180610
452,1210107565283851685068800
453,28644458404800643072
454,572204589843750
456,56
457,4751
459,53
460,7
462,309485009821345068724781056
465,82
468,1510236415306298880
471,0
472,33227552537453172
473,2
474,13082761331670030
476,893
