,Accuracy,Count,Min_lenght_seq,Max_lenght_seq_slice
0,0.705,5818,11,12
1,0.748,5017,11,13
2,0.761,4326,11,14
3,0.757,3819,11,15
4,0.766,3472,11,16
5,0.764,3179,11,17
6,0.76,2969,11,18
7,0.755,2791,11,19
8,0.76,2660,11,20
9,0.835,4996,12,13
10,0.867,4305,12,14
11,0.879,3798,12,15
12,0.905,3451,12,16
13,0.919,3158,12,17
14,0.926,2948,12,18
15,0.93,2770,12,19
16,0.95,2639,12,20
17,0.868,4297,13,14
18,0.88,3790,13,15
19,0.907,3443,13,16
20,0.92,3150,13,17
21,0.927,2940,13,18
22,0.932,2762,13,19
23,0.952,2631,13,20
24,0.88,3786,14,15
25,0.907,3439,14,16
26,0.921,3146,14,17
27,0.928,2936,14,18
28,0.933,2758,14,19
29,0.953,2627,14,20
30,0.907,3428,15,16
31,0.921,3135,15,17
32,0.928,2925,15,18
33,0.933,2747,15,19
34,0.953,2616,15,20
35,0.921,3129,16,17
36,0.929,2919,16,18
37,0.934,2741,16,19
38,0.954,2610,16,20
39,0.929,2910,17,18
40,0.934,2732,17,19
41,0.954,2601,17,20
42,0.934,2724,18,19
43,0.955,2593,18,20
44,0.955,2588,19,20
